id,geography,abbr,allTeethRemoved,bachelorOrHigher,white,skinCancer,foodStamp,smoke
1,Alabama,AL,22.2,19,68.5,8.2,15.8,21.1
2,Alaska,AK,13.4,30.4,65.6,3.2,10.3,19.9
4,Arizona,AZ,12.3,27.3,78.3,8.3,13.1,16.5
5,Arkansas,AR,22,17.7,78.3,6.6,14.4,24.7
6,California,CA,8.7,29.5,61.4,4.8,9.5,12.9
8,Colorado,CO,10.5,34,84.4,6.3,8.9,15.7
9,Connecticut,CT,10.5,30.4,76.8,5.8,12.8,15.4
10,Delaware,DE,16.1,25.7,69.2,6.7,12.9,19.9
11,District of Columbia,DC,11,39.2,40.2,2.9,14.1,16.4
12,Florida,FL,13.2,25.6,76,8.9,14.8,17.7
13,Georgia,GA,19.3,23.2,59.9,6.4,15.7,17.4
15,Hawaii,HI,6.5,27.8,25.4,4.5,11.7,14.1
16,Idaho,ID,14.9,23.1,91.7,7.1,11.8,15.9
17,Illinois,IL,16.5,24.2,72.1,4.2,13.7,16.5
18,Indiana,IN,18,18.9,84.1,5.6,12.8,22.9
19,Iowa,IA,15,20.1,91.3,5.9,11.9,18.5
20,Kansas,KS,16.4,26,84.9,6.2,9.5,18.1
21,Kentucky,KY,23.9,17.1,87.4,7.7,17.5,26.2
22,Louisiana,LA,20.5,20.3,62.8,5,15.7,24
23,Maine,ME,17.5,26.4,94.8,6.9,16.9,19.3
24,Maryland,MD,12.9,31.9,57.4,4.9,11.6,14.6
25,Massachusetts,MA,14.4,30,79.3,6.3,13,14.7
26,Michigan,MI,12.9,21.8,78.9,5.8,16.2,21.2
27,Minnesota,MN,10.5,26.2,84.4,5.1,9.2,16.3
28,Mississippi,MS,22.5,19.1,58.8,5.7,18.1,23
29,Missouri,MO,19.9,20.3,82.3,6,12.8,20.6
30,Montana,MT,16.7,26.1,89.4,6.8,11.1,19.9
31,Nebraska,NE,14.1,20.7,88.3,5.7,9.4,17.3
32,Nevada,NV,17,23.6,68,6.3,12.3,17
33,New Hampshire,NH,12.2,30.4,93.4,6.3,7.9,17.5
34,New Jersey,NJ,13.1,27.5,67.7,4.8,9.2,15.1
35,New Mexico,NM,15.7,28.8,73.1,5.2,15.5,19.2
36,New York,NY,14.9,25.7,64,4.1,15.6,14.4
37,North Carolina,NC,19.6,23.2,69.1,6.6,14.4,19.1
38,North Dakota,ND,14.3,20.3,88.5,4.4,8.2,19.9
39,Ohio,OH,18.1,19.7,82.1,6,14.9,21
40,Oklahoma,OK,22.5,21.3,72.9,5.9,13.8,21.1
41,Oregon,OR,13,28.3,84.6,7.4,18.9,17
42,Pennsylvania,PA,15.7,20.2,81.4,6.1,13,19.9
44,Rhode Island,RI,13.8,25.4,81.3,6.3,17.5,16.3
45,South Carolina,SC,18.1,23.9,67.3,7.2,14.3,21.5
46,South Dakota,SD,16.1,20.5,84.9,6.1,10.9,18.6
47,Tennessee,TN,22.4,20,77.6,6.8,17.6,24.2
48,Texas,TX,12.3,24.3,75.2,4.6,13.1,14.5
49,Utah,UT,11.2,30.4,87.3,6.6,8.1,9.7
50,Vermont,VT,16.9,31.8,94.5,6.4,14.3,16.4
51,Virginia,VA,15.1,28.9,68.9,5.5,9.9,19.5
53,Washington,WA,11.1,30.4,77.7,5.8,14.1,15.3
54,West Virginia,WV,33.7,13.7,93.6,7.6,16.4,26.7
55,Wisconsin,WI,13.5,22,86.3,5.5,13.1,17.4
56,Wyoming,WY,17.2,26,91,7.5,6.7,19.5
